year,mileage,engine_size,horsepower,doors,owners,price
2019,163950,3.0,213,4,3,31747
2020,129895,3.8,256,4,2,48622
2021,89178,3.5,272,4,1,39662
2022,36797,2.7,215,5,2,37805
2022,89626,3.0,191,4,1,44460
2021,54678,3.7,263,5,2,46594
2024,20915,2.2,193,4,3,51186
2023,45960,2.0,203,4,1,44997
2011,227824,1.0,132,4,3,2500
2022,73099,3.5,267,4,2,46864
2012,234630,3.4,244,4,3,7685
2011,253675,1.3,136,4,5,2500
2012,318392,2.7,235,4,2,14903
2016,176327,2.4,154,4,3,20683
2010,218880,1.4,123,4,3,2500
2019,129632,3.9,250,5,2,28732
2017,184192,1.6,152,4,2,17329
2022,53393,1.2,152,5,1,30605
2019,111427,2.8,194,4,2,37080
2019,112411,3.2,171,4,2,27290
2019,97274,1.1,105,4,3,16352
2023,64080,3.0,243,4,2,47885
2011,216604,2.6,211,4,3,6407
2012,220350,1.3,137,4,2,11046
2018,111537,1.5,131,4,1,20269
2016,165599,2.7,172,4,5,10522
2013,114858,1.9,172,4,5,2500
2019,51353,3.8,243,4,2,39906
2014,265070,3.5,302,4,2,21983
2011,151398,4.0,289,4,5,12062
2022,40396,1.8,139,4,2,40959
2020,48473,3.9,254,4,1,47761
2022,48707,2.3,179,4,1,40556
2017,83721,2.0,159,4,4,28227
2013,278456,1.2,149,4,4,5636
2018,150189,1.2,126,4,2,16189
2014,139087,3.1,207,5,2,15320
2022,97366,2.4,234,4,1,47489
2018,168159,1.7,150,4,2,23596
2013,181574,2.8,228,4,3,17923
2019,15154,1.8,139,4,1,27384
2014,306175,2.7,213,3,5,11823
2018,74957,2.1,178,4,3,24427
2017,79762,3.5,200,4,1,30652
2025,35406,3.5,298,4,1,66928
2012,353553,2.4,219,4,4,2500
2010,331559,2.1,161,4,5,2500
2012,232950,2.1,143,5,3,2500
2025,15336,3.4,251,4,1,61239
2013,249588,2.0,167,4,3,8730
2011,286101,1.6,152,4,5,2500
2010,259486,1.3,131,4,4,2500
2016,151490,2.4,200,4,3,24427
2025,16235,2.4,223,4,1,49343
2017,96113,3.5,262,4,1,37640
2016,158265,1.7,122,2,3,9807
2023,6068,2.1,205,4,3,40702
2025,16404,3.4,283,4,1,56888
2014,146852,3.5,326,4,3,29222
2021,50237,2.2,148,4,2,33910
2010,251051,2.4,193,4,2,5857
2016,209065,1.9,107,4,1,2500
2022,74725,3.8,278,3,1,45833
2016,93055,1.4,118,5,3,13620
2018,62254,3.8,312,4,1,51831
2012,284602,3.1,206,5,5,2500
2018,70390,2.6,156,4,2,28325
2023,39300,1.1,104,4,1,41879
2010,275311,2.4,138,4,3,2500
2010,176164,2.2,195,5,2,9151
2023,30441,1.5,86,4,1,30590
2013,121581,3.0,221,4,4,15903
2025,32536,3.9,218,4,1,49692
2018,117880,2.7,195,3,1,26357
2015,88043,3.1,267,4,1,44492
2022,61308,1.2,130,5,1,37471
2020,93728,2.3,160,5,1,36510
2012,244998,1.3,126,4,3,3229
2010,249706,2.8,209,5,4,2500
2013,279680,3.8,276,4,2,21182
2021,95861,3.0,186,4,3,40034
2022,50361,1.2,136,4,1,31693
2018,131600,2.1,103,4,3,22497
2012,231295,2.7,188,5,2,12351
2021,66534,2.2,164,4,2,43250
2018,126185,3.5,263,4,1,35377
2016,133251,3.4,243,3,4,21109
2021,63640,2.8,174,4,2,34909
2023,22934,2.1,146,2,2,45238
2024,45739,1.8,159,5,1,33939
2025,5000,1.3,125,4,1,34062
2013,160510,2.1,156,4,2,12239
2012,173563,2.2,164,4,3,6658
2019,128669,3.0,237,4,1,36510
2024,22645,3.0,207,4,1,53900
2025,23273,1.2,119,4,2,38201
2014,139264,2.2,230,4,3,12535
2014,194404,1.5,102,4,4,13692
2012,178370,1.5,91,4,4,2500
2021,120795,3.5,267,3,1,39064
2018,73663,1.1,99,2,2,24847
2013,206649,2.3,174,4,2,9921
2020,114553,1.5,118,4,2,25220
2014,200532,3.6,247,5,4,21254
2013,177666,2.7,243,4,1,25946
2014,186202,1.7,169,4,4,9905
2016,166167,2.5,214,4,2,31042
2025,8334,3.2,196,4,1,42064
2018,136034,3.9,241,4,4,34903
2016,259548,1.7,78,5,4,2500
2022,43118,3.7,238,4,1,53975
2014,113936,3.8,288,4,4,28492
2019,82518,3.7,271,4,1,39384
2019,195186,2.9,209,4,4,30114
2016,101722,2.9,214,4,1,32682
2023,74435,2.2,159,5,3,39474
2024,45242,3.3,242,4,1,47590
2019,78022,2.6,217,4,1,34316
2014,206654,3.0,180,3,1,15482
2012,319452,2.3,189,3,2,4764
2016,133998,3.2,254,4,2,33454
2022,62179,3.5,237,3,1,36800
2020,94059,1.4,150,4,2,30882
2020,46959,3.5,318,4,1,49242
2011,197345,2.6,195,4,3,4861
2024,20028,3.5,257,4,2,50423
2021,66779,2.3,163,4,2,33935
2018,78977,2.1,175,4,1,13556
2019,110473,3.7,270,4,2,36703
2019,65205,1.8,159,4,2,25700
2021,81169,3.5,222,4,2,43335
2010,315125,2.5,198,4,5,2500
2022,9601,2.5,229,4,2,45205
2015,183394,1.9,171,5,5,19093
2016,192721,2.7,228,3,2,28192
2023,32306,2.0,159,4,1,45561
2022,98975,1.1,134,3,4,26417
2017,147762,1.8,161,4,4,21659
2019,56749,1.0,86,3,3,19314
2018,119981,3.9,277,4,2,37143
2011,267054,3.9,245,4,2,14461
2020,96095,2.2,160,4,1,29469
2019,134328,3.2,236,4,2,41824
2011,152143,2.0,172,4,3,7223
2014,195947,3.0,190,4,5,15715
2022,46478,3.4,268,4,1,56779
2014,156207,3.8,278,4,3,30843
2015,123453,2.2,158,4,3,10744
2012,158619,3.3,198,4,3,15544
2017,184246,1.8,150,5,2,21957
2025,23387,4.0,264,2,1,61391
2022,66092,1.1,118,4,2,26816
2010,154596,2.8,200,4,5,3607
2015,149679,3.0,170,4,2,23440
2013,255093,3.1,216,4,5,7153
2010,239345,1.4,124,4,5,2500
2024,57667,3.8,280,4,1,62816
2016,156211,1.5,120,4,1,15805
2018,133576,2.9,256,4,1,32449
2022,59061,1.7,101,5,1,27518
2013,185554,1.9,192,4,4,13047
2013,179304,2.6,192,4,2,8862
2015,211992,2.3,203,4,1,18752
2021,86714,1.5,139,4,3,31302
2024,18282,1.5,166,4,1,50443
2012,130752,2.3,172,3,3,13630
2022,34782,3.3,209,4,1,41847
2021,83914,3.7,294,4,1,54337
2015,104408,1.3,124,5,2,12954
2016,67343,2.2,182,4,3,18579
2020,117880,1.3,157,3,1,28506
2019,193318,1.0,84,5,2,21702
2019,105661,3.0,235,4,3,35664
2012,254742,2.8,194,4,2,9643
2016,145377,1.5,134,4,3,22805
2023,48890,1.7,150,3,1,32389
2012,272085,1.1,78,4,3,2500
2022,68791,3.5,228,4,2,37043
2022,71317,3.9,303,4,2,53363
2011,231683,1.4,154,4,3,2863
2021,70487,1.7,147,4,2,39615
2023,48411,3.6,259,4,2,51612
2019,95649,3.8,257,4,2,37562
2013,153290,2.3,215,4,5,14355
2021,107028,1.2,116,4,3,26963
2017,129711,1.1,121,4,3,9275
2022,66574,2.7,232,4,1,57471
2024,28085,2.2,157,4,1,46271
2018,164437,1.1,154,4,2,22765
2016,180237,2.7,165,4,1,23063
2010,234991,1.0,151,4,3,2500
2012,279471,3.4,233,4,4,9686
2022,87324,1.9,153,4,1,33275
2021,92528,1.1,68,5,5,21934
2023,51799,2.8,198,4,1,46785
2018,76989,2.2,150,4,1,23921
2024,28803,3.9,254,4,1,61030
2021,61959,2.6,195,5,2,38947
2010,190532,1.8,178,4,5,5240
2018,102267,3.1,231,4,1,41197
2017,141689,1.8,162,4,2,22082
2010,285927,3.7,231,4,4,7035
2015,166088,2.1,148,4,2,18971
2014,223016,2.6,243,4,4,14327
2015,168135,1.2,103,5,4,7192
2019,49460,2.3,223,5,1,37844
2021,42947,3.5,241,5,3,38160
2022,53535,3.4,242,3,2,55870
2025,16511,1.7,175,4,1,41629
2022,79289,1.7,180,4,1,33021
2022,84613,3.5,245,4,1,52331
2024,40252,3.8,254,4,1,57248
2014,153295,1.3,125,4,1,7330
2025,18137,2.4,195,4,1,53152
2015,181262,2.0,187,4,5,21264
2014,167549,3.6,253,3,4,20999
2020,78444,1.3,142,4,1,42125
2021,68692,1.6,184,4,2,28421
2014,159109,3.3,246,4,5,23302
2013,198366,1.2,129,2,4,8808
2012,227104,2.5,155,4,1,12066
2012,214401,2.3,116,4,2,2622
2013,225481,2.0,175,4,3,8121
2018,157602,2.2,174,4,2,27017
2011,267561,2.6,185,4,4,6996
2024,27607,1.5,144,4,2,43599
2018,23270,2.7,202,4,3,37653
2010,298643,3.4,270,5,5,2500
2023,33481,3.3,239,4,1,49193
2024,24056,1.5,119,5,1,34842
2024,30068,1.4,157,4,1,41384
2010,116427,1.8,149,4,2,10704
2014,216074,2.1,184,5,2,13933
2015,188918,2.2,164,3,2,26840
2015,148582,3.0,204,4,4,20714
2012,49376,1.2,123,4,5,7312
2025,8849,1.1,116,4,1,42640
2016,169065,2.2,188,5,2,17662
2018,48996,3.1,219,3,4,31530
2020,99037,1.6,97,4,2,29373
2021,64361,2.9,204,4,2,39957
2019,109720,1.8,174,4,2,25492
2025,5000,3.7,251,4,2,52137
2025,21748,3.7,252,4,1,54815
2017,177168,1.9,184,4,3,21700
2015,172490,1.7,131,4,5,14834
2021,69027,2.2,137,4,1,27407
2017,80129,1.7,144,4,3,20315
2021,53860,3.0,208,4,1,42236
2014,144578,3.5,223,4,3,12977
2017,126436,3.0,216,4,3,23929
2019,153435,3.5,260,4,2,33736
2021,45732,2.2,176,5,2,32610
2013,105624,1.5,145,4,3,12385
2019,162515,3.2,276,5,1,37314
2017,141007,2.1,162,4,2,19786
2019,80326,3.0,227,4,3,37226
2021,85137,1.8,141,4,2,39288
2011,179986,1.2,100,5,4,4507
2021,118688,4.0,260,4,2,34657
2021,80615,1.5,126,5,2,31839
2014,144081,4.0,284,5,3,25895
2018,201100,3.9,328,4,2,39919
2013,159079,3.4,224,3,3,15739
2025,18667,3.0,210,4,1,52889
2020,90495,2.7,202,4,1,37529
